query_id,query,items,labels
c86c1fcbbe1797fa1e568a974f1e720660f2b83289bec93a124b88c2812c5ce7,Suggestions for family-friendly movies,"[878, 377, 715, 958, 580]","['REL', 'REL', 'REL', 'REL', 'REL']"
72ecf6018e082d4d8e67d7e780b4c5d4e301a165c34174bbfc66998a3f318cfd,A sci-fi release with strong visuals,"[476, 807, 951, 764, 623]","['REL', 'REL', 'REL', 'REL', 'REL']"
edab9afc737cecede8f2600881245c5532cb33ab4622e5cb3e81a43118701275,A musical to lighten the mood,"[810, 429, 249, 617, 565]","['REL', 'REL', 'REL', 'REL', 'REL']"
95a501d2323423d8106a02f6b324f95eb87ee9f27fc2b48e62c31fb26abffdbe,Find a cult classic,"[543, 514, 552, 168, 78]","['REL', 'REL', 'REL', 'REL', 'REL']"
c382870483139bcb1a29b04f6b4fb5995297d1daf65fac94a79a5bc8c7040a2e,Any movie about friendship,"[533, 975, 760, 483, 637]","['REL', 'REL', 'REL', 'REL', 'REL']"
c5cc2d3b58a60eb2614e0bcc85f1d9943847dae5a8cf2b65511afc8f35c5f463,I’d like something set in a small town,"[448, 555, 267, 937, 965]","['REL', 'REL', 'REL', 'REL', 'REL']"
2abeaf6036bb40f03bee7224241c8ec61f42ab3642399212b22f5f61425c6eaf,Looking for a mystery film,"[878, 712, 119, 934, 932]","['REL', 'REL', 'REL', 'REL', 'REL']"
8534a69bc89e3df2019c5b05761f246311118602e11c4e28fb7c1bd7821762cc,What's a good action movie?,"[979, 963, 840, 865, 2]","['REL', 'REL', 'REL', 'REL', 'REL']"
8296cf41b502ccd23c9fbf0edeee65a7bfdf1609d1b41b126e0949dfdbf4485a,I feel like seeing something inspirational,"[159, 8, 205, 623, 32]","['REL', 'REL', 'REL', 'REL', 'REL']"
355933c94deca060e26d03269c3b803c7f81ee2c75449d9d12ba2a62ed704948,How about a film set in the jungle?,"[992, 566, 328, 625, 411]","['REL', 'REL', 'REL', 'REL', 'REL']"
b62e41a925b84d9695ae9545d5616ab27479bc3158b3bd92d3fe735611f012d6,Show me anything with Meg Ryan,"[975, 533, 383, 514, 190]","['REL', 'REL', 'REL', 'REL', 'REL']"
1c741f5cfca3670db28af54e9367886eb49b28db30581c7d03928f6e7be4f568,Can you suggest a feel-good film?,"[248, 159, 801, 360, 786]","['REL', 'REL', 'REL', 'REL', 'REL']"
f434553b9f0ad6539c40dec2edc37ae0bce5cfa8b0efbad8dec15a0db6e5cf4c,Give me a story about survival,"[943, 998, 497, 716, 535]","['REL', 'REL', 'REL', 'REL', 'REL']"
7e9ff95c98beed88763397532f1bc2cd6f230c4d87dcbcce73f902631d74e16d,I want a film with a strong female lead,"[341, 196, 355, 559, 547]","['REL', 'REL', 'REL', 'REL', 'REL']"
72ca79e7e4ce59b4e8a36c7df455527739115f187ae53e7f0a666d282293b25c,Looking for a franchise film,"[566, 126, 74, 655, 543]","['REL', 'REL', 'REL', 'REL', 'REL']"
fba1384b2c8841a7ecf818d4670bfd63c712171769c80a8ba8c53a48d2e00739,Find something with Meryl Streep,"[533, 547, 563, 347, 52]","['REL', 'REL', 'REL', 'REL', 'REL']"
42e0cb1aa07fa7a778a1ffcde89e828adc78de646412d3c308d3392e05704327,A narrative with a supernatural element,"[204, 552, 319, 297, 712]","['REL', 'REL', 'REL', 'REL', 'REL']"
74f5ab4d8c6d18615a4f045989ceee1dd362fe2c2ad19905d9a8d29b1efc4f77,Any thief movies?,"[96, 708, 8, 412, 789]","['REL', 'REL', 'REL', 'REL', 'REL']"
32d596eb9e5a9dca8f35e8fd62141e7eba1cc51b9f10f9a15953c648f1e6a5ba,Can I get a romantic drama suggestion?,"[631, 637, 547, 483, 533]","['REL', 'REL', 'REL', 'REL', 'REL']"
d1e597bf7a3511cd72a0d67652e1c8e16d9a0e8eede0063df9157a7fd3dcf58b,An arthouse film recommendation,"[432, 45, 597, 972, 932]","['REL', 'REL', 'REL', 'REL', 'REL']"
7f844104d07c471868197fd138bf919732c0eea7b1f0b53590e854ab871e1517,Looking for films with a literary adaptation,"[789, 780, 122, 597, 204]","['REL', 'REL', 'REL', 'REL', 'REL']"
dee3d018053b3f942ad7d6a198f03002e548d2a6779442ddc8d6fd5c7e9caf00,Show me a quirky comedy,"[855, 958, 972, 760, 681]","['REL', 'REL', 'REL', 'REL', 'REL']"
bf92c2afb65a9fdf452fe1f3ef6fc1b2dd8300cfce73a45759db00f0c2b83434,Give me an animated feature with animals,"[875, 756, 330, 228, 323]","['REL', 'REL', 'REL', 'REL', 'REL']"
fcc634a4cf00818f270b1144195426521022716f55572f76701baeb4c15de17f,Any old-school western I should see?,"[543, 774, 167, 232, 295]","['REL', 'REL', 'REL', 'REL', 'REL']"
a653ef5615c5b45f467023ee3865dfe7acf714c85638df53c2b819d458478620,Something with an unusual plot twist,"[450, 714, 119, 497, 988]","['REL', 'REL', 'REL', 'REL', 'REL']"
47cb0785de044cf99a9aa7e29a260895956eb0fd7060c6165de7b8053ea0aec4,Find a historical romance,"[483, 547, 873, 631, 314]","['REL', 'REL', 'REL', 'REL', 'REL']"
9c72a07690d70f2c6cf8c323af2fb2b0209b365b9c849d61275d7f3363e6877b,Can I have a slice-of-life film suggestion?,"[643, 817, 377, 204, 491]","['REL', 'REL', 'REL', 'REL', 'REL']"
09c1a99240deb632c57820467ae6f70236a5743763675789fc5a6c591203e5b9,Any ensemble cast movies to check out?,"[543, 547, 559, 803, 683]","['REL', 'REL', 'REL', 'REL', 'REL']"
4d65c6f1711f0e93967e182a103a9e489c90191254f385680b24c563bfe7c3ee,What about a film steeped in mythology?,"[85, 319, 497, 875, 176]","['REL', 'REL', 'REL', 'REL', 'REL']"
1f32c7ef6d3aec8f9e44a1fd2dab30579a2b660e0ae59954a6d42834a6df924d, I'd like a revenge story.,"[708, 602, 241, 412, 620]","['REL', 'REL', 'REL', 'REL', 'REL']"
46a4f7fcd0e99040344c6891d8bfb8701ed17092939bd4ecc38d24386510d25b,I need a classic thriller,"[559, 119, 450, 171, 999]","['REL', 'REL', 'REL', 'REL', 'REL']"
7cc4b59cccdee7794922357542fa11554e4852a6661257d16f35486f7ddba94a,Show me something romantic,"[483, 631, 547, 311, 637]","['REL', 'REL', 'REL', 'REL', 'REL']"
429a4452b4015d729eb37d32fd90caae51982b3bdcd3c3ffb078d2e884ef28a5,Films with clever twists,"[450, 119, 432, 714, 999]","['REL', 'REL', 'REL', 'REL', 'REL']"
48b03ed3cf8a5b6833684b8928187e19c3bcfe12c3eaa679dcba0ba946b561fb,I feel like seeing a fantasy,"[8, 875, 623, 618, 593]","['REL', 'REL', 'REL', 'REL', 'REL']"
fe1c4f0ca83c131cab7bad8d48365c1f927491c75430a072d0737eaf8dee8cba,Are there any movies set in space?,"[745, 21, 686, 114, 746]","['REL', 'REL', 'REL', 'REL', 'REL']"
25d96650a3a5f8687552f294f385ee454c03963afab16b83907c07b0904dd6a1,Give me a musical,"[617, 429, 565, 697, 514]","['REL', 'REL', 'REL', 'REL', 'REL']"
14f9f429abc34f1238a262f522498b6446470f7d95d8199d0dfbd743c7cf5be9,Something with strong female leads,"[199, 341, 885, 547, 355]","['REL', 'REL', 'REL', 'REL', 'REL']"
3b0f6aa884c0a55feefbc6ad8a5196b74e9b3097f42f6b2cae418d23bf49f45b,Can I watch anything with a unique storytelling style?,"[497, 204, 319, 228, 361]","['REL', 'REL', 'REL', 'REL', 'REL']"
060cdbb2c1c017c1ed2e089bb320adef054348915709190b3f58c4665362c538,Reveal films based on books,"[655, 210, 724, 947, 920]","['REL', 'REL', 'REL', 'REL', 'REL']"
864cf70df3e641fd724597590d3e6bd2adfbacef37432cc8b3cc49ef2712ad37,Show me an animated movie,"[976, 875, 394, 377, 756]","['REL', 'REL', 'REL', 'REL', 'REL']"
ff407b97cde149b7a164d7e7ec8d5650fe83b99129dea3bec1f3a1091c81fb77,Looking for a poignant drama,"[176, 319, 812, 785, 620]","['REL', 'REL', 'REL', 'REL', 'REL']"
98bfba35c15cbefb5e78b0bb5fe04ae59766ca89e071a08eb508224c5bb14166,Do you have any feel-good films?,"[801, 248, 159, 360, 432]","['REL', 'REL', 'REL', 'REL', 'REL']"
087138ea4fd488aec0caff808b01e6e1062ae09033aa329680e558c117997e80,Movies featuring prominent historical figures,"[80, 873, 549, 300, 445]","['REL', 'REL', 'REL', 'REL', 'REL']"
badcdad20db661413916438e08038a278ea693b59b523060ae0b61c396696d27,I want to see a sci-fi adventure,"[21, 623, 807, 329, 677]","['REL', 'REL', 'REL', 'REL', 'REL']"
9aa5a6f9e98125bf2715fb38f72336ea8ba9f1f70c67ea2a0756c0db943eedc3,Suggest a movie with a surprise ending,"[932, 210, 79, 248, 922]","['REL', 'REL', 'REL', 'REL', 'REL']"
2d5d12ffd756e3b386a0d492378b158f1179437b4186c866b7d9ca2d7ef9f768,Show films with a magical theme,"[875, 150, 399, 401, 976]","['REL', 'REL', 'REL', 'REL', 'REL']"
cce09aa7a680fae9db17434722b0aad6b8e4dc7ac0f4dd0f10a56fd14f30f88c,Give me something with a road trip,"[798, 978, 621, 961, 223]","['REL', 'REL', 'REL', 'REL', 'REL']"
c43fd151dbf3651975a8051f5e423866e8c64ed08d4f0837c05c12f1aea0d72c,Are there comedies with lovable losers?,"[806, 808, 958, 547, 760]","['REL', 'REL', 'REL', 'REL', 'REL']"
08d3942d5bcd3dfdd227c2fc2bf4a9347d18d718a5a95fb0203b3d3521f18209,I would like to watch a crime film,"[901, 79, 708, 680, 559]","['REL', 'REL', 'REL', 'REL', 'REL']"
042d632f3f75284893e99e6c9d96dc1a768b3dfd3837c7808059dd86875c7336,Anything with epic battles?,"[950, 80, 928, 301, 865]","['REL', 'REL', 'REL', 'REL', 'REL']"
169253e1fa9c7356b65323f1c87ad9d26beeb6b387199bda104be95e7f55f09d,Show me movies set in the 1980s,"[467, 683, 108, 930, 969]","['REL', 'REL', 'REL', 'REL', 'REL']"
341fbad36bf8046345975fdbc9435b66d661b7460522c8e337da22279ead9ec3,I’m looking for films with ensemble casts,"[543, 668, 105, 150, 192]","['REL', 'REL', 'REL', 'REL', 'REL']"
35b298db79accff86535044a236600c717968c1895eccfa7237ec29a46b5ad70,Can you recommend a film with an unusual premise?,"[119, 932, 8, 432, 655]","['REL', 'REL', 'REL', 'REL', 'REL']"
0434f74debdadd1d2542d1ac315e44e35222daa8110aae80f686674b367a6938,How about a movie focused on friendships?,"[637, 533, 683, 341, 760]","['REL', 'REL', 'REL', 'REL', 'REL']"
b2840d0ce3261e8f3503498f1ea68792bf9574a1ab52856cb6371bc1cadefcce,I want to see a couple’s story,"[466, 562, 452, 483, 490]","['REL', 'REL', 'REL', 'REL', 'REL']"
13d6ca7a59803f79b4d78f4d29ca35f7c9750a1455f3915f29b75c8f97daa9df,Please show me a movie with a twist,"[932, 450, 119, 655, 382]","['REL', 'REL', 'REL', 'REL', 'REL']"
90619468a0d61401395e4a30ede3ac9e1bb223f3d982f98b34f5511f966bd8d0,Films showcasing artist struggles,"[481, 272, 597, 586, 934]","['REL', 'REL', 'REL', 'REL', 'REL']"
87418d3623f9882ea5c65d6db8a0264248c720c97bdb4c9072197715cce7eb2d,Are there action movies with strong character arcs?,"[623, 908, 796, 543, 742]","['REL', 'REL', 'REL', 'REL', 'REL']"
01a6b0ddbd676a1606bb75abcd29f602346a3138def0de52d916427e0209deee,Show me a gothic horror film,"[932, 425, 719, 444, 73]","['REL', 'REL', 'REL', 'REL', 'REL']"
06211ff4026a56b8b52a0a0837b49efcb9fa2c50052e18501ac656cfe0531b09,Anything featuring a war plot?,"[80, 573, 950, 84, 931]","['REL', 'REL', 'REL', 'REL', 'REL']"
a8eb8a87bec916ccb50782e672730ec91714cf96ec927ac785841d85f306e51f,Suggest a film based on fairy tales,"[401, 976, 672, 377, 940]","['REL', 'REL', 'REL', 'REL', 'REL']"
a9752a32c9f02f40645bdbd0a9d9839c80ad99e68f9d1a652f3fa3183bf70106,I'm looking for a movie involving ghosts,"[712, 932, 685, 419, 988]","['REL', 'REL', 'REL', 'REL', 'REL']"
4ae1e7fa36f6966e2be6d87bf44610c6675fc5b4b03f691574963a37f3e730ca,Do you have a film about surviving in the wilderness?,"[370, 470, 231, 851, 581]","['REL', 'REL', 'REL', 'REL', 'REL']"
0c0cfa66295e54b6e07db315bb31ec4d995caed7b12ae89fbc68f5ca9c64c596,I want a suspense thriller,"[119, 559, 863, 999, 145]","['REL', 'REL', 'REL', 'REL', 'REL']"
d5db7f26f3eef1caceb4b51e028392a6e7b1f0db6bf5f244c48494bcb854c7f1,Tell me about a fantasy film,"[5, 150, 618, 10, 497]","['REL', 'REL', 'REL', 'REL', 'REL']"
15f4cc147ce9203525bced6ba992d5e9d6db9ee61f6b57e9798b707f6fe9df21,Is there something with a strong female lead?,"[199, 547, 341, 355, 885]","['REL', 'REL', 'REL', 'REL', 'REL']"
8277385f595b1e41e5240d2975d97cec341094321a5270731ade1eccb4799817,Recommendations for an action movie,"[963, 979, 677, 6, 840]","['REL', 'REL', 'REL', 'REL', 'REL']"
4e4df195fa783cd2c1352f3e0164a3eb5d956c6430584672f39ab79b7c1a6540,What’s a good romantic comedy?,"[547, 870, 806, 533, 760]","['REL', 'REL', 'REL', 'REL', 'REL']"
b940e6a8a69dce40d70b0ae8ea393337b383ab79833689ab2b39c0624d44aab0,Show me a crime drama,"[607, 79, 932, 187, 224]","['REL', 'REL', 'REL', 'REL', 'REL']"
582bdc39586c9bba354ad8f919cfeff3fabeaef5b2f324baf790adc52ce14a2c,Looking for something set in outer space,"[114, 75, 686, 286, 66]","['REL', 'REL', 'REL', 'REL', 'REL']"
7e3f80ecffc1330b1ae12d87af405b6fcf44ca793e1583cba5a606f5bbcc95c9,Find a film with great animal characters,"[228, 469, 886, 323, 822]","['REL', 'REL', 'REL', 'REL', 'REL']"
9e5087bf75d4cf4e772b5ece325d80fd2231f708bb9d7ab7a3acfb59077c8a12,Search for a coming-of-age story,"[593, 878, 347, 620, 204]","['REL', 'REL', 'REL', 'REL', 'REL']"
3420d8da2383fdd4b8891ef6aa5b94fa8fb98792fbf21c3df3de5210e4721cfa,What's a classic musical?,"[617, 697, 429, 565, 107]","['REL', 'REL', 'REL', 'REL', 'REL']"
501885ae913d0547295fd10aac7faf2fa2cb33a0454e04106aa981959a022ec3,Show me a film with a charismatic villain,"[2, 423, 444, 853, 152]","['REL', 'REL', 'REL', 'REL', 'REL']"
ba10282fccc26242130824274210e5c235eda2035b94bf36a77370cf2e9edef4,Any films with a historical theme?,"[832, 80, 315, 873, 549]","['REL', 'REL', 'REL', 'REL', 'REL']"
6465943afe0e06975fda3090f3d376131b2d1b7ce0614c2a0929c7e273f294a4,I’m in the mood for animated adventures,"[875, 399, 623, 756, 596]","['REL', 'REL', 'REL', 'REL', 'REL']"
69d29a0e3b93fdfb71cca99191166fa8cc777fa794c327979e3bdf31b097133f,Can you recommend a heist movie?,"[96, 103, 708, 164, 932]","['REL', 'REL', 'REL', 'REL', 'REL']"
4591b82cc0dedff59bce4f8f91aab01b486a85852056965fa1c47b33718eafce,Tell me about a movie set in a small town,"[555, 448, 452, 364, 278]","['REL', 'REL', 'REL', 'REL', 'REL']"
86a5efd638d6e329c1f2c596ec808fee9b131768979cc9e5f1261ac421522815,I’d like to see a story with magic,"[875, 399, 919, 976, 947]","['REL', 'REL', 'REL', 'REL', 'REL']"
cd8e5b24e101abc7c14a6f0c2939849b4d60621ffefc6c1afef3c0bbf4d0390c,Share a family-friendly film,"[580, 973, 701, 200, 377]","['REL', 'REL', 'REL', 'REL', 'REL']"
6bbacaa3e74e0f74beafc89e7251d2a302a13dcaa7a9147997855628a0ba3372,What’s a memorable film about friendship?,"[975, 508, 683, 637, 706]","['REL', 'REL', 'REL', 'REL', 'REL']"
0ba305e6e376a6954a301af0782f05f1e745a70a38090b1eaa305f8ce76972be,Find a psychological horror,"[932, 49, 419, 321, 811]","['REL', 'REL', 'REL', 'REL', 'REL']"
1fed5ec0b503ccbb5cd25d7cbf8ae87cc3a08b74dbdc7b2ffc073a88e5be8767,Any engaging superhero stories?,"[908, 749, 378, 807, 357]","['REL', 'REL', 'REL', 'REL', 'REL']"
8de7d7ff82caf62543759474dfb6909eaf85f818f92d0fa11431fe8731beb717,I feel like something with a deep moral story,"[552, 204, 159, 623, 662]","['REL', 'REL', 'REL', 'REL', 'REL']"
16713e7eaf61faa58a0b364acb01f9a764a3da8ffaf82ae88a9c0f2d60c0e5f4,Suggest a film with beautiful cinematography,"[119, 82, 45, 361, 547]","['REL', 'REL', 'REL', 'REL', 'REL']"
a27179ded9139975e5fe540e8ac2de5ec8ca2c2d5c12b07e2bcb2cf82cc1d718,Show me a film based on a true story,"[385, 224, 520, 377, 562]","['REL', 'REL', 'REL', 'REL', 'REL']"
8583292a4ab4d36fbb541f56662d9928720c33b68a1bf7382b42929ee19616d0,Is there a good story set in the wild?,"[231, 543, 470, 401, 723]","['REL', 'REL', 'REL', 'REL', 'REL']"
bb1777edc55bef4e09cafabed0d6bdd1f9c906b5538050d767387e281d25960d,What about a movie centered around art?,"[481, 8, 597, 361, 586]","['REL', 'REL', 'REL', 'REL', 'REL']"
e6abbc7d678d334e0b567f86e28f78e1257e9bde23166a063d5d21f1fbe5479b,Find a political thriller,"[693, 548, 999, 118, 951]","['REL', 'REL', 'REL', 'REL', 'REL']"
dd83bf0379e1b04fc0d614239849e87cc846da4b72410cccaa9a63af0a0d303c,I'm looking for a sports drama,"[176, 614, 434, 983, 910]","['REL', 'REL', 'REL', 'REL', 'REL']"
fa12b3ade0d5f8d3ce90ff2de718d6de8db6fe9c0f76faee8358e21e4e83c5ae,Share something that has a unique animation style268c723e74624464e8d323eea312a0265fd9826adf1ac0834e4676260802f41d,"[66, 405, 394, 875, 70]","['REL', 'REL', 'REL', 'REL', 'REL']"
3f571c13bcc48cc00e558c5613eee9c68265adcfddb3572d3514a24fbb722c27,Show me action movies,"[979, 6, 677, 908, 405]","['REL', 'REL', 'REL', 'REL', 'REL']"
a31112a78f458c9086590328730dd1882c0637ce7ff0d26ee2f908103df1cdc7,Give me a drama with Meryl Streep,"[533, 383, 347, 341, 836]","['REL', 'REL', 'REL', 'REL', 'REL']"
93dfdd4d427364aee6e205dd626eda3c1129cb1e54023328a5aa12b74938c662,I feel like watching something spooky,"[932, 271, 248, 119, 934]","['REL', 'REL', 'REL', 'REL', 'REL']"
3aaf387785e7f51549bf8afdd71826093ca83cfb7c778a8bb2d481db5df0f222,Are there films set in space?,"[745, 21, 114, 286, 832]","['REL', 'REL', 'REL', 'REL', 'REL']"
04595cf10edd7921809cd556d4ab2de2159f926f8ffe1ad251f1d02450283b0c,Suggest me a thriller,"[119, 450, 36, 37, 187]","['REL', 'REL', 'REL', 'REL', 'REL']"
f7811fe53a1e6511208a84caf5f932d164cc7e98563fb2c9d0aa830e22892a78,Something with Robert Downey Jr.,"[968, 680, 729, 806, 112]","['REL', 'REL', 'REL', 'REL', 'REL']"
bdb1cc650e2a96d311f6382ab32e55902261cde13933b8d016997234de3133be,Give me a family-friendly movie,"[377, 973, 958, 531, 267]","['REL', 'REL', 'REL', 'REL', 'REL']"
6353c5a6bd920a7f7de3808bc3534e8904c91775c4a2df0d41f4709a639e3337,Looking for a fantasy adventure,"[618, 5, 564, 178, 150]","['REL', 'REL', 'REL', 'REL', 'REL']"
89dce2c1928d8987a395bf10d9da9a52e30b1898889dbfd830aa7902aa8dbfb6,Are there films directed by Spielberg?,"[24, 832, 72, 7, 262]","['REL', 'REL', 'REL', 'REL', 'REL']"
2ebe0f9a3b751d29b094fa72bb2b9c8f2b907bf34ee46bf8b80af36549839741,Show me something with a strong female lead,"[341, 885, 547, 631, 355]","['REL', 'REL', 'REL', 'REL', 'REL']"
b15dfba6a3dc678c3d5e5d647eaa1ed601089cd292d0ca49b3670ef3b7c8270c,Tell me about a movie with music in it,"[34, 429, 571, 342, 183]","['REL', 'REL', 'REL', 'REL', 'REL']"
91033775d5161912b4d48c901df7bdc859b0e0a66ac12a1d98ad3669ef06a8ca,Can I watch a story based on a book?,"[518, 377, 319, 176, 545]","['REL', 'REL', 'REL', 'REL', 'REL']"
05beacc38e9628411d94520b1340a7826c8727bb47ac65f6101de0605d6e706d,I want animated films,"[875, 976, 756, 394, 399]","['REL', 'REL', 'REL', 'REL', 'REL']"
b7e6f583060f2d33dc189f7405738470f21c92fce73bc2b3bc6fe8ac305ebac2,Show me movies about friendship,"[975, 760, 240, 533, 593]","['REL', 'REL', 'REL', 'REL', 'REL']"
ff4dd3c9058e87d37a3b4c19805c0764b6e78b8ad894c5cb6a2c17b4c9b02088,Suggest a heist film,"[103, 96, 164, 708, 999]","['REL', 'REL', 'REL', 'REL', 'REL']"
23a3a930fe573f59c023404a49c3a04bf28c28950d3c103dd7f537d521666754,I'm in the mood for a classic,"[703, 870, 697, 82, 518]","['REL', 'REL', 'REL', 'REL', 'REL']"
907b8dfd328f9875668f3acf49a1ab8fd35be490835602a71515a5e0027f773f,Give me something set in the wilderness,"[231, 470, 370, 851, 297]","['REL', 'REL', 'REL', 'REL', 'REL']"
25d33c037019d8c65f1cfb82b0cd812c918a2f6d0c437a5d86806fa7318913ea,Suggest a movie based in a city,"[959, 364, 126, 52, 283]","['REL', 'REL', 'REL', 'REL', 'REL']"
67bff8aea925d363eac8927dbe22a5e1cb13d640547cf30351d74a2f1601473a,Looking for a film with mystery elements,"[712, 119, 934, 959, 420]","['REL', 'REL', 'REL', 'REL', 'REL']"
84722aedae5c39c1b4458ab346812070a6c5abb2092dcdfb0ea6f92814abf955,Can you show me something light-hearted?,"[958, 52, 801, 837, 284]","['REL', 'REL', 'REL', 'REL', 'REL']"
